id,title,description,created_at,updated_at,homepage,cached_slug,twitter_search_key,stack_search_key,created_by_id,last_updated_by_id
55,Regular Expressions,Matches text patterns,2011-10-03 17:45:15.073536,2011-10-03 17:45:15.122686,"",regular-expressions,"","",5,5
10,Capybara,"Capybara aims to simplify the process of integration testing Rack applications, such as Rails, Sinatra or Merb. Capybara simulates how a real user would interact with a web application. It is agnostic about the driver running your tests and currently comes with Rack::Test and Selenium support built in. HtmlUnit and env.js are supported through external gems.",2011-06-18 04:50:51.051653,2011-11-17 02:22:46.235608,"",capybara,gmassanek,capybara,1,1
59,UX,User Experience,2011-10-25 01:49:21.080218,2011-10-25 01:49:21.122237,"",ux,"","",1,1
67,Sass,Awesome Css,2011-11-17 17:06:35.753352,2011-11-17 17:06:35.801773,"",sass,"","",1,1
63,wireframing,A way to mock up the design of a website in order to get a feel for the UX ,2011-11-02 04:16:37.606963,2011-11-02 04:17:13.99032,"",wireframing,wireframing,"",1,1
71,Icon Set,Icons enough said,2011-11-26 22:04:50.337565,2011-11-26 22:05:59.199514,"",icon-set,"","",8,8
11,Cucumber,Cucumber: behavior driven development with elegance and joy,2011-06-18 04:50:58.649114,2011-12-03 00:00:22.774544,http://cukes.info/,cucumber,Cucumber gem,cucumber,1,1
13,Fabrication,Fabrication is an object generation framework for Ruby.,2011-06-18 04:51:17.819368,2011-09-22 02:09:50.028547,http://fabricationgem.org/,fabrication,fabrication gem,,1,1
5,Git,"Git is a free & open source, distributed version control system designed to handle everything from small to very large projects with speed and efficiency.",2011-06-18 04:49:47.609018,2011-09-22 02:09:50.065518,www.http://git-scm.com/,git,"","",1,1
6,Github,"Originally founded by Chris Wanstrath, PJ Hyett and Tom Preston-Werner as a project to simplify sharing code, GitHub has grown into an application used by nearly a million people to store over two million code repositories, making GitHub the largest code host in the world.",2011-06-18 04:50:05.279081,2011-09-22 02:09:50.076867,http://www.https://github.com/,github,github,,1,1
19,guard,Guard is a command line tool that easily handle events on files modifications.,2011-06-18 04:52:31.557866,2011-09-22 02:09:50.087094,https://github.com/guard,guard,guard gem,,1,1
9,Rspec,"RSpec is a Behaviour-Driven Development tool for Ruby programmers. BDD is an approach to software development that combines Test-Driven Development, Domain Driven Design, and Acceptance Test-Driven Planning. RSpec helps you do the TDD part of that equation, focusing on the documentation and design aspects of TDD.
",2011-06-18 04:50:43.138856,2011-09-22 02:09:50.28098,http://www.rspec.info/,rspec,rspec,"",1,1
8,Ruby on Rails,Ruby on Rails is an open source web framework that's optimized for a programmer's happiness and sustainable productivity. It lets you write beautiful by favoring convention over configuration.,2011-06-18 04:50:27.127243,2011-09-22 02:09:50.322033,www.http://rubyonrails.org/,ruby-on-rails,Ruby on Rails,ruby-on-rails,1,1
28,sqlite3,sqlite3,2011-06-18 04:54:42.690744,2011-09-22 02:09:50.372794,,sqlite3,sqlite3,,1,1
15,vim,vim,2011-06-18 04:51:39.619315,2011-09-22 02:09:50.422455,"",vim,vim,,1,1
56,vps,Virtual Private Server,2011-10-04 19:45:33.96082,2011-10-04 19:45:33.988001,"",vps,"","",1,1
51,Destroy All Software,"Gary Bernhardt.  Some awesome screencasts
",2011-08-18 02:42:22.736249,2011-09-22 02:09:50.002213,https://www.destroyallsoftware.com,destroy-all-software,"","",1,1
17,Haml,"Haml takes your gross, ugly templates and replaces them with veritable Haiku.

Haml is the next step in generating views in your Rails application. Haml is a refreshing take that is meant to free us from the shitty templating languages we have gotten used to.

Haml is based on one primary principle. Markup should be beautiful.",2011-06-18 04:51:53.92723,2011-09-22 02:09:50.097153,http://haml-lang.com/,haml,Haml,,1,1
31,Heroku,"Run any web or background process with any web framework or worker type. Get direct, granular control over your app's workloads. Scale distributed processes effortlessly with a single command. Easily scale to millions of users.",2011-06-18 14:10:30.998565,2011-09-22 02:09:50.105566,http://www.heroku.com/,heroku,Heroku,,1,1
37,JSON,XML parser for html requests?,2011-06-30 02:37:13.834951,2011-09-22 02:09:50.142498,http://www.json.org/,json,JSON,,1,1
60,Fast Rails Tests,Talk by Corey Haines,2011-10-25 20:24:33.222409,2011-10-25 20:24:33.25415,"",fast-rails-tests,"","",1,1
64,AJAX,Autosynchronous javascript?,2011-11-07 15:40:48.798659,2011-11-07 15:40:49.272267,"",ajax,"","",1,1
50,Nifty Generators,Helpful generator to add some extra fluff to your base generators,2011-08-18 02:40:14.621897,2011-09-22 02:09:50.20591,"",nifty-generators,"","",1,1
29,Passenger,"Phusion Passenger™ — a.k.a. mod_rails or mod_rack — makes deployment of Ruby web applications, such as those built on the revolutionary Ruby on Rails web framework, a breeze. It follows the usual Ruby on Rails conventions, such as “Don’t-Repeat-Yourself”.",2011-06-18 04:55:56.434676,2011-09-22 02:09:50.230475,http://www.modrails.com/,passenger,Passenger apache,,1,1
68,Hosting,Godaddy alternatives,2011-11-19 22:36:28.20227,2011-11-19 22:36:28.242336,"",hosting,"","",1,1
7,Ruby,"Ruby is a dynamic, reflective, general-purpose object-oriented programming language that combines syntax inspired by Perl with Smalltalk-like features.",2011-06-18 04:50:18.682271,2011-09-22 02:09:50.290856,http://www.ruby-lang.org/en/,ruby,"",,1,1
46,Selenium,Selenium is a suite of browser automation tools for developers and testers.,2011-07-20 17:53:33.253277,2011-09-22 02:09:50.341175,http://seleniumhq.org/,selenium,selenium,,1,1
72,Routes,Routing ,2011-11-27 17:20:09.358242,2011-11-27 17:20:09.394709,"",routes,"","",1,1
27,mysql,The world's most popular open source database,2011-06-18 04:54:35.583088,2011-10-07 21:34:05.372045,http://www.mysql.com/,mysql,mysql,"",1,1
14,simple_form,"SimpleForm aims to be as flexible as possible while helping you with powerful components to create your forms. The basic goal of simple form is to not touch your way of defining the layout, letting you find the better design for your eyes. Good part of the DSL was inherited from Formtastic, which we are thankful for and should make you feel right at home.",2011-06-18 04:51:30.051232,2011-10-31 14:13:43.229748,"",simple_form,simple_form,"",1,1
24,Blueprint,"Blueprint is a CSS framework, which aims to cut down on your development time. It gives you a solid foundation to build your project on top of, with an easy-to-use grid, sensible typography, useful plugins, and even a stylesheet for printing.",2011-06-18 04:53:52.659563,2011-09-22 02:09:49.968794,http://www.blueprintcss.org/,blueprint,Blueprint css,,1,1
42,ERB,ERB (Embedded Ruby) is what rails uses by default for their views.  It is essentially what PHP uses by embedding scripting code within an HTML page.,2011-07-15 13:31:46.643752,2011-09-22 02:09:50.019775,"",erb,"",,1,1
23,Factory Girl,"Factory girl is a fixtures replacement with a straightforward definition syntax, support for multiple build strategies (saved instances, unsaved instances, attribute hashes, and stubbed objects), and support for multiple factories for the same class (user, admin_user, and so on), including factory inheritance.",2011-06-18 04:53:44.363092,2011-09-22 02:09:50.037753,https://github.com/thoughtbot/factory_girl_rails,factory-girl,factory_girl,,1,1
54,ffaker,"A library to generate fake data such as Lorem Ipsum text, emails, names, etc during development and testing",2011-08-25 15:18:02.720391,2011-09-22 02:09:50.046783,"",ffaker,"","",1,1
21,Gist,"Gist is a simple way to share snippets and pastes with others. All gists are git repositories, so they are automatically versioned, forkable and usable as a git repository.",2011-06-18 04:53:02.202459,2011-09-22 02:09:50.055317,https://gist.github.com/,gist,gist.github,,1,1
25,HTML5,The latest and greatest release of HTML standards,2011-06-18 04:54:00.609847,2011-09-22 02:09:50.113404,"",html5,HTML5,,1,1
32,janus,janus,2011-06-18 19:17:23.540442,2011-09-22 02:09:50.123496,,janus,janus,,1,1
47,jquery,Awesome UI tool,2011-08-08 01:16:48.389008,2011-09-22 02:09:50.133591,"",jquery,jquery,jquery,1,1
22,Jumpstart Lab,"Where a traditional class is one broadcasting voice and many listeners, these courses are built on a peer-to-peer model. Our small groups, limited to just 20 people, can quickly build a friendly community where we push each other to break down complex problems, develop creative solutions, and build lasting skills.",2011-06-18 04:53:28.603065,2011-09-22 02:09:50.151586,http://www.jumpstartlab.com/,jumpstart-lab,Jumpstart Lab,,1,1
16,linode,"Get a server running in minutes with your choice of Linux distro, resources, and node location.",2011-06-18 04:51:46.789277,2011-09-22 02:09:50.166711,http://www.linode.com/index.cfm,linode,linode,,1,1
49,Logging,"Rails logging? Had some cool links...


@bryanl: look at flume, or the shopify log collector",2011-08-17 03:08:34.424432,2011-09-22 02:09:50.178322,"",logging,"","",1,1
34,paperclip,Paperclip is intended as an easy file attachment library for ActiveRecord. The intent behind it was to keep setup as easy as possible and to treat files as much like other attributes as possible.,2011-06-28 14:39:05.391846,2011-09-22 02:09:50.221621,"",paperclip,paperclip rails,,1,1
41,rails3-jquery-autocomplete,Autocomplete text box based on a rails model attribute,2011-07-14 02:38:12.031002,2011-09-22 02:09:50.252096,https://github.com/crowdint/rails3-jquery-autocomplete,rails3-jquery-autocomplete,rails3 jquery autocomplete,,1,1
48,rbenv,An ruby version manager that lets you change between versions of ruby,2011-08-14 15:45:13.370579,2011-09-22 02:09:50.261759,"",rbenv,"","",1,1
53,Redcarpet,Markdown to HTML parser that github recently released.,2011-08-22 15:38:28.22569,2011-09-22 02:09:50.270581,"",redcarpet,"","",1,1
12,Ruby Gems,"A gem is a packaged Ruby application or library. It has a name (e.g. rake) and a version (e.g. 0.4.16).

Gems are managed on your computer using the gem command. You can install, remove, and query (amoung other things) gem packages using the gem command.

RubyGems is the name of the project that developed the gem packaging system and the gem command. You can get RubyGems from the main rubygems.org repository, or the old RubyForge repository.",2011-06-18 04:51:04.160744,2011-09-22 02:09:50.301684,http://rubygems.org/,ruby-gems,Ruby Gems,"",1,1
36,RubyLearning,"Speed up your Ruby programming learning process by joining 1000s of other would-be Ruby developers around the globe at the Online RubyLearning Class. Step through the convenient lessons related to 'Ruby' and post your Ruby-related queries, questions and the RubyLearning team shall explain and solve them for you.",2011-06-29 03:18:00.792848,2011-09-22 02:09:50.312956,http://rubylearning.com/,rubylearning,RubyLearning,,1,1
39,RVM,"RVM is a command line tool which allows us to easily install, manage and work with multiple ruby environments from interpreters to sets of gems. ",2011-06-30 19:54:11.293072,2011-09-22 02:09:50.330835,http://beginrescueend.com/,rvm,RVM,,1,1
33,solarize,"solarize, color scheme for vim",2011-06-18 19:17:35.573563,2011-09-22 02:09:50.363207,,solarize,solarize,,1,1
20,Stack Overflow,Stack Overflow,2011-06-18 04:52:55.80083,2011-09-22 02:09:50.381879,http://stackoverflow.com/,stack-overflow,Stack Overflow,"",1,1
18,Test Driven Development,Test Driven Development,2011-06-18 04:52:05.474606,2011-09-22 02:09:50.391546,http://www.google.com,test-driven-development,Test Driven Development,,1,1
45,Textile,Text to HTML language,2011-07-20 04:28:32.935936,2011-09-22 02:09:50.405164,"",textile,"",,1,1
35,Twitter,twitter gem,2011-06-29 03:15:23.226048,2011-09-22 02:09:50.414425,http://www.twitter.com,twitter,"",,1,1
57,Rake,A tool by which to run different tasks within rails,2011-10-05 17:07:16.772738,2011-10-05 17:07:16.810563,"",rake,"","",1,1
61,Draper,Awesome gem by Jeff Casimir - a presenter layer to OO your views and avoid just dumping all these methods into a helper,2011-10-26 16:16:42.622343,2011-10-26 16:37:09.80973,https://github.com/jcasimir/draper,draper,Draper gem,"",1,1
52,BlueCloth,"BlueCloth is a Ruby implementation of  Markdown, a text-to-HTML conversion tool for web writers. Markdown allows you to write using an easy-to-read, easy-to-write plain text format, then convert it to structurally valid XHTML (or HTML).",2011-08-18 05:05:50.526783,2011-10-29 15:36:23.159729,http://deveiate.org/projects/BlueCloth,bluecloth,bluecloth,"",1,1
65,Resque,Resque,2011-11-09 19:02:14.978958,2011-11-09 19:02:15.022552,"",resque,"","",1,1
69,Gems,Ruby nuggets,2011-11-22 12:56:17.505446,2011-11-22 12:56:17.554844,"",gems,"","",1,1
40,Active Record,Database integration layer of Rails that makes interacting with models and databases easy,2011-07-06 03:21:35.208886,2011-12-01 06:00:58.687238,"",active-record,ActiveRecords,"",1,1
73,Coffeescript,JS on HAML,2011-11-29 13:28:16.123878,2011-11-29 13:28:16.164853,"",coffeescript,"","",1,1
30,Apache,"The Apache HTTP Server Project is an effort to develop and maintain an open-source HTTP server for modern operating systems including UNIX and Windows NT. The goal of this project is to provide a secure, efficient and extensible server that provides HTTP services in sync with the current HTTP standards.",2011-06-18 04:56:03.518109,2011-09-22 02:09:49.951516,http://www.apache.org/,apache,Apache,,1,1
43,Devise,Devise is a flexible authentication solution for Rails based on Warden,2011-07-15 13:33:33.44014,2011-09-22 02:09:50.011461,https://github.com/plataformatec/devise,devise,devise,"",1,1
26,postgresql,"PostgreSQL is a powerful, open source object-relational database system. It has more than 15 years of active development and a proven architecture that has earned it a strong reputation for reliability, data integrity, and correctness. It runs on all major operating systems, including Linux, UNIX (AIX, BSD, HP-UX, SGI IRIX, Mac OS X, Solaris, Tru64), and Windows. It is fully ACID compliant, has full support for foreign keys, joins, views, triggers, and stored procedures (in multiple languages). It includes most SQL:2008 data types, including INTEGER, NUMERIC, BOOLEAN, CHAR, VARCHAR, DATE, INTERVAL, and TIMESTAMP. It also supports storage of binary large objects, including pictures, sounds, or video. It has native programming interfaces for C/C++, Java, .Net, Perl, Python, Ruby, Tcl, ODBC, among others, and exceptional documentation.
",2011-06-18 04:54:26.586143,2011-09-22 02:09:50.239132,http://www.postgresql.org/,postgresql,postgresql,,1,1
44,Markdown,Text to HTML language,2011-07-20 04:28:15.018924,2011-09-23 05:41:42.531294,"",markdown,markdown,markdown,1,1
58,Mongo DB,Document based DB,2011-10-22 19:42:31.306114,2011-10-22 19:43:22.222598,http://www.mongodb.org/,mongo-db,"","",1,1
38,OmniAuth,"OmniAuth is a new Rack-based authentication system for multi-provider external authentcation. OmniAuth is built from the ground up on the philosophy that authentication is not the same as identity, and is based on two observations:

The traditional 'sign up using a login and password' model is becoming the exception, not the rule. Modern web applications offer external authentication via OpenID, Facebook, and/or OAuth.
The interconnectable web is no longer a dream, it is a necessity. It is not unreasonable to expect that one application may need to be able to connect to one, three, or twelve other services. Modern authentication systems should allow a user's identity to be associated with many authentications.",2011-06-30 03:29:59.77258,2011-10-29 15:37:14.571334,"",omniauth,OmniAuth,omniauth,1,1
62,decent_exposure,Gem to simplify instance variable exposure in controllers/views,2011-11-01 12:31:38.599258,2011-11-01 12:31:38.641615,"",decent_exposure,"","",1,1
66,css,styling,2011-11-13 07:06:36.715392,2011-11-13 07:06:36.753004,"",css,"","",1,1
74,APIs,API creation,2011-12-02 00:55:36.749634,2011-12-02 00:55:36.895866,"",apis,"","",1,1
